x,y,z,label
4929,9.55,3.63,0
4449,10.05,3.99,0
4513,12.16,4.45,0
4673,12.11,4.38,0
4705,11.27,4.35,0
5025,11.24,4.14,0
4865,11.19,4.07,0
4849,10.88,4.12,0
4769,11.41,4.19,0
5137,11.39,3.75,0
5153,10.93,3.71,0
5217,11.34,3.71,0
4865,11.39,4.14,0
5169,11.91,3.71,0
5377,11.39,3.68,0
4913,11.39,4.07,0
4945,11.39,4.09,0
5121,11.91,3.68,0
4993,11.89,3.66,0
5185,10.91,4.02,0
5185,10.88,3.99,0
4737,10.86,3.99,0
4769,11.39,3.99,0
5089,11.98,4.04,0
5169,11.44,3.97,0
4993,11.37,3.93,0
4929,11.39,3.93,0
4881,11.94,3.99,0
5073,11.44,3.93,0
5313,11.49,3.92,0
5025,12.68,3.97,0
4753,12.89,4.04,0
4737,13.23,3.95,0
5281,13.69,3.93,0
4929,13.71,3.88,0
4769,12.94,3.88,0
4801,12.89,3.87,0
5121,12.89,3.83,0
4785,13.3,3.4,0
4865,12.63,3.87,0
4865,13.2,3.37,0
5041,12.58,3.81,0
5137,13.09,3.4,0
4865,13.14,3.88,0
4897,13.13,3.83,0
4657,12.61,3.76,0
4993,12.89,3.78,0
5153,12.58,3.71,0
4913,12.3,4.55,0
4577,10.14,4.11,0
4913,-0.02,4.07,0
4833,19.07,4.07,0
5345,-0.02,4.07,0
4913,-0.02,4.02,0
5345,-0.02,4.02,0
5377,13.73,4.07,0
5265,13.71,4.3,0
4865,12.73,4.28,0
4737,11.75,4.18,0
4753,11.75,4.18,0
4737,11.8,4.24,0
5073,12.25,4.31,0
4817,11.86,4.24,0
5265,12.37,4.23,0
4785,12.32,4.24,0
4641,12.27,4.23,0
5409,11.79,4.28,0
5345,11.8,4.24,0
5153,11.79,4.18,0
4849,11.84,3.76,0
4897,12.78,4.26,0
4961,12.3,4.28,0
5089,12.37,4.24,0
5265,12.47,4.24,0
4801,12.84,3.73,0
4785,12.53,4.19,0
4833,12.68,4.3,0
4961,13.61,4.3,0
5505,14.09,4.28,0
5185,13.32,3.76,0
5089,12.63,3.81,0
4993,13.61,4.4,0
5425,14.23,3.92,0
4993,14.33,4.35,0
5009,16.96,4.35,0
4961,16.74,4.35,0
4945,13.8,4.45,0
5377,13.87,4.5,0
5393,14.33,4.38,0
5185,-0.02,4.35,0
5377,15.62,3.88,0
5345,14.21,4.35,0
5073,13.8,4.35,0
5153,14.23,3.88,0
4897,14.64,4.28,0
4897,13.81,4.35,0
