x,y,z,label
6081,9.52,3.4,0
6673,10.03,5.1,0
5953,8.76,3.3,0
5585,5.91,3.66,0
5553,5.14,14.19,0
6097,5.05,5.07,0
6209,4.98,5.07,0
5905,5.03,5.5,0
6273,6.24,12.84,0
5537,6.84,5.05,0
5377,5.34,5.07,0
6337,3.71,8.97,0
6273,3.54,5.02,0
6017,4.36,9.38,0
6449,5.5,5,0
6545,6.89,10.31,0
5825,8.18,11.74,0
6241,5.86,5.5,0
5905,5.24,8.54,0
5857,5.46,9,0
5921,6.12,9,0
5297,5.76,8.59,0
5409,5.4,8.54,0
6257,5.4,8.54,0
6257,6.07,7.66,0
5729,4.93,5.48,0
6273,5.29,6.77,0
6225,5.31,6.79,0
6081,5.24,6.77,0
5777,5.62,5.48,0
5969,5.6,5.48,0
5905,5.19,5.5,0
6417,5.6,5.46,0
6289,5.52,5.89,0
6065,6.48,5.48,0
6177,6.37,5.48,0
6273,6.96,5.89,0
6305,6.53,5.48,0
6033,6.43,5.48,0
6593,6.17,5.89,0
6353,5.4,5.46,0
6849,6.12,5,0
6593,5.81,4.6,0
6337,7.27,5.05,0
6545,7.73,4.6,0
6273,4.52,7.65,0
6465,5.1,5.48,0
6897,5.19,5.89,0
6625,5.7,5.48,0
6561,5.65,5.89,0
6721,5.29,5.46,0
6481,5.4,5.46,0
6673,5.45,5.48,0
6577,5.7,5,0
6833,7.61,5.48,0
7217,9.18,9.95,0
7521,9.05,9.91,0
7313,6.34,4.6,0
6337,6.27,4.6,0
6353,4.73,5.38,0
5649,3.18,5,0
5057,4.05,5.89,0
5569,3.69,6.79,0
5345,4.05,8.09,0
5409,4.11,7.65,0
5729,4.18,7.66,0
6033,4.05,7.66,0
5889,4.42,8.06,0
6609,5.24,5.4,0
8065,8.14,5.33,0
2048,12.46,4.86,0
4481,4.52,4.35,0
4705,3.02,5.21,0
5057,3.02,5.22,0
5345,3.08,5.67,0
5169,3.23,4.81,0
5649,4,5.24,0
5121,4.11,5.22,0
5249,3.95,4.79,0
5713,4.36,5.22,0
5361,4.36,4.78,0
