x,y,z,dx,dy,dz,xx,yy,zz,dxx,dyy,dzz,label
-0.005,0.004,1.006,0,0,0,-0.244,0.549,-0.122,0,0,0,0
-0.009,0.002,1.01,-0.004,-0.002,0.003,0,0.61,-0.122,0.244,0.061,0,0
-0.008,0,1.009,0.001,-0.001,0,-0.183,0.427,-0.061,-0.183,-0.183,0.061,0
-0.006,0.001,1.008,0.002,0,-0.002,-0.122,0.488,-0.061,0.061,0.061,0,0
-0.006,0.001,1.007,0,0.001,0,-0.061,0.549,-0.061,0.061,0.061,0,0
-0.008,0.002,1.007,-0.001,0,0,-0.061,0.549,-0.122,0,0,-0.061,0
-0.009,0.001,1.009,-0.002,0,0.002,0,0.549,-0.122,0.061,0,0,0
-0.007,0.004,1.009,0.002,0.002,0,-0.061,0.488,-0.061,-0.061,-0.061,0.061,0
-0.009,0.002,1.009,-0.001,-0.002,0,-0.061,0.488,-0.122,0,0,-0.061,0
-0.009,0.003,1.009,0,0.001,0,-0.061,0.549,-0.061,0,0.061,0.061,0
-0.008,0.002,1.008,0.001,-0.001,-0.001,-0.122,0.488,0,-0.061,-0.061,0.061,0
-0.009,0.002,1.008,-0.001,0,0,-0.061,0.488,-0.061,0.061,0,-0.061,0
-0.008,0.003,1.008,0,0.001,0,0,0.427,-0.061,0.061,-0.061,0,0
-0.006,0.003,1.007,0.002,0,-0.001,0,0.366,-0.061,0,-0.061,0,0
-0.007,0.003,1.007,0,0,0,-0.061,0.427,0,-0.061,0.061,0.061,0
-0.006,0.004,1.007,0,0.001,0,0,0.488,-0.061,0.061,0.061,-0.061,0
-0.007,0.002,1.006,-0.001,-0.002,0,-0.061,0.488,-0.061,-0.061,0,0,0
-0.007,0.002,1.006,0,0,0,-0.122,0.427,-0.061,-0.061,-0.061,0,0
-0.007,0.001,1.006,-0.001,0,0,-0.061,0.549,-0.061,0.061,0.122,0,0
-0.006,0.002,1.007,0.001,0.001,0.002,-0.061,0.488,-0.061,0,-0.061,0,0
-0.007,0.002,1.006,0,0.001,-0.001,-0.061,0.488,-0.061,0,0,0,0
-0.006,0.002,1.006,0.001,0,0,-0.122,0.488,-0.061,-0.061,0,0,0
-0.006,0.003,1.006,0,0.001,-0.001,-0.061,0.549,-0.061,0.061,0.061,0,0
-0.007,0.003,1.007,-0.002,0,0.002,-0.122,0.488,0,-0.061,-0.061,0.061,0
-0.008,0.004,1.007,0,0.001,0,-0.061,0.488,-0.061,0.061,0,-0.061,0
-0.007,0.004,1.005,0.001,0.001,-0.001,-0.122,0.549,-0.061,-0.061,0.061,0,0
-0.003,0.006,1.001,0.004,0.001,-0.004,-0.122,0.549,-0.061,0,0,0,0
-0.004,0.004,1.004,-0.002,-0.001,0.003,-0.122,0.549,-0.061,0,0,0,0
-0.011,0.001,1.01,-0.006,-0.003,0.006,-0.122,0.61,-0.061,0,0.061,0,0
-0.011,0.001,1.011,0,0,0.001,-0.183,0.549,-0.122,-0.061,-0.061,-0.061,0
-0.01,-0.001,1.01,0.001,-0.002,-0.001,-0.122,0.671,-0.061,0.061,0.122,0.061,0
-0.007,-0.001,1.008,0.003,0,-0.001,-0.122,0.549,-0.061,0,-0.122,0,0
-0.008,0,1.008,-0.001,0,0,-0.183,0.488,-0.061,-0.061,-0.061,0,0
-0.01,0,1.009,-0.001,0.001,0,-0.061,0.488,-0.061,0.122,0,0,0
-0.01,0.002,1.008,-0.001,0.001,-0.001,-0.122,0.427,-0.061,-0.061,-0.061,0,0
-0.01,0.002,1.008,0.001,0,0,-0.122,0.427,-0.061,0,0,0,0
-0.009,0.004,1.008,0.001,0.001,0,-0.061,0.488,-0.061,0.061,0.061,0,0
-0.009,0.003,1.007,0,-0.001,-0.001,-0.122,0.488,-0.122,-0.061,0,-0.061,0
-0.009,0.003,1.007,0,0,-0.001,-0.061,0.549,-0.061,0.061,0.061,0.061,0
-0.009,0.003,1.007,0,0,0.001,-0.061,0.488,-0.061,0,-0.061,0,0
-0.009,0.001,1.008,0,-0.001,0.001,-0.122,0.427,-0.061,-0.061,-0.061,0,0
-0.008,0.002,1.008,0.001,0.001,0,-0.061,0.488,-0.061,0.061,0.061,0,0
-0.01,0,1.008,-0.001,-0.002,0,0.061,0.61,-0.061,0.122,0.122,0,0
-0.011,0.001,1.009,-0.001,0.001,0.001,-0.061,0.549,-0.061,-0.122,-0.061,0,0
-0.007,0.002,1.007,0.004,0.001,-0.002,-0.061,0.549,-0.061,0,0,0,0
-0.007,0.002,1.006,0,0,-0.001,-0.061,0.488,-0.061,0,-0.061,0,0
-0.008,0.001,1.008,-0.001,-0.001,0.001,-0.061,0.549,-0.061,0,0.061,0,0
-0.008,0.003,1.007,0,0.001,0,-0.061,0.549,-0.061,0,0,0,0
-0.005,0.004,1.005,0.003,0.001,-0.003,0,0.61,-0.061,0.061,0.061,0,0
-0.006,0.003,1.007,-0.001,-0.001,0.002,-0.122,0.549,-0.061,-0.122,-0.061,0,0
-0.008,0.002,1.007,-0.002,0,0.001,0.061,0.61,-0.061,0.183,0.061,0,0
-0.01,0.001,1.009,-0.002,-0.001,0.001,0,0.61,-0.061,-0.061,0,0,0
-0.008,0.002,1.007,0.002,0,-0.002,-0.122,0.549,-0.061,-0.122,-0.061,0,0
