x,yz,label
6081,6.12,0
6673,4.93,0
5953,5.46,0
5585,2.25,0
5553,-9.05,2
6097,-0.02,2
6209,-0.09,2
5905,-0.47,2
6273,-6.6,2
5537,1.79,0
5377,0.27,0
6337,-5.26,2
6273,-1.48,2
6017,-5.02,2
6449,0.5,0
6545,-3.42,2
5825,-3.56,2
6241,0.36,0
5905,-3.3,2
5857,-3.54,2
5921,-2.88,2
5297,-2.83,2
5409,-3.14,2
6257,-3.14,2
6257,-1.59,2
5729,-0.55,2
6273,-1.48,2
6225,-1.48,2
6081,-1.53,2
5777,0.14,0
5969,0.12,0
5905,-0.31,2
6417,0.14,0
6289,-0.37,2
6065,1,0
6177,0.89,0
6273,1.07,0
6305,1.05,0
6033,0.95,0
6593,0.28,0
6353,-0.06,2
6849,1.12,0
6593,1.21,0
6337,2.22,0
6545,3.13,0
6273,-3.13,2
6465,-0.38,2
6897,-0.7,2
6625,0.22,0
6561,-0.24,2
6721,-0.17,2
6481,-0.06,2
6673,-0.03,2
6577,0.7,0
6833,2.13,0
7217,-0.77,2
7521,-0.86,2
7313,1.74,0
6337,1.67,0
6353,-0.65,2
5649,-1.82,2
5057,-1.84,2
5569,-3.1,2
5345,-4.04,2
5409,-3.54,2
5729,-3.48,2
6033,-3.61,2
5889,-3.64,2
6609,-0.16,2
8065,2.81,0
2048,7.6,0
4481,0.17,0
4705,-2.19,2
5057,-2.2,2
5345,-2.59,2
5169,-1.58,2
5649,-1.24,2
5121,-1.11,2
5249,-0.84,2
5713,-0.86,2
5361,-0.42,2
5857,-1.17,2
5265,-1.77,2
4657,-4.52,2
5569,-5.32,2
5649,-5.63,2
4881,-1.92,2
5777,-6.44,2
5633,-6.46,2
5665,-6.1,2
5153,-6.07,2
5473,-6.01,2
5953,-6.51,2
5361,-6.16,2
5313,-5.98,2
5905,-6,2
5473,-6,2
5601,-6.02,2
5233,-1.04,2
5697,-6,2
5697,-0.66,2
5377,-0.81,2
5681,-5.98,2
5729,6.92,0
5601,5.86,0
5409,0.99,0
5729,-5.26,2
5889,0.06,0
